equipment_code,equipment_type,month,predicted_service_prob,predicted_service_label,severity,confidence_bucket,scenario_mode
EL107,Elevator,2029-03-01,0.758204,1,URGENT,high,baseline
EL107,Elevator,2029-04-01,0.76574,1,URGENT,high,baseline
EL107,Elevator,2029-05-01,0.778464,1,URGENT,high,baseline
EL107,Elevator,2029-06-01,0.776143,1,URGENT,high,baseline
EL107,Elevator,2029-07-01,0.77401,1,URGENT,high,baseline
EL107,Elevator,2029-08-01,0.773782,1,URGENT,high,baseline
EL107,Elevator,2029-09-01,0.77333,1,URGENT,high,baseline
EL107,Elevator,2029-10-01,0.771331,1,URGENT,high,baseline
EL107,Elevator,2029-11-01,0.7776,1,URGENT,high,baseline
EL107,Elevator,2029-12-01,0.796484,1,URGENT,high,baseline
EL108,Elevator,2027-01-01,0.718649,1,URGENT,high,baseline
EL108,Elevator,2027-02-01,0.57296,1,MONITOR,medium,baseline
EL108,Elevator,2027-03-01,0.549252,1,MONITOR,medium,baseline
EL108,Elevator,2027-04-01,0.594883,1,MONITOR,medium,baseline
EL108,Elevator,2027-05-01,0.595234,1,MONITOR,medium,baseline
EL108,Elevator,2027-06-01,0.62793,1,MONITOR,high,baseline
EL108,Elevator,2027-07-01,0.626473,1,MONITOR,high,baseline
EL108,Elevator,2027-08-01,0.615348,1,MONITOR,high,baseline
EL108,Elevator,2027-09-01,0.613277,1,MONITOR,high,baseline
EL108,Elevator,2027-10-01,0.615469,1,MONITOR,high,baseline
EL108,Elevator,2027-11-01,0.636674,1,MONITOR,high,baseline
EL108,Elevator,2027-12-01,0.655905,1,MONITOR,high,baseline
EL108,Elevator,2028-01-01,0.576699,1,MONITOR,medium,baseline
EL108,Elevator,2028-02-01,0.571423,1,MONITOR,medium,baseline
EL108,Elevator,2028-03-01,0.60408,1,MONITOR,high,baseline
EL108,Elevator,2028-04-01,0.608246,1,MONITOR,high,baseline
EL108,Elevator,2028-05-01,0.616022,1,MONITOR,high,baseline
EL108,Elevator,2028-06-01,0.62793,1,MONITOR,high,baseline
EL108,Elevator,2028-07-01,0.626473,1,MONITOR,high,baseline
EL108,Elevator,2028-08-01,0.615348,1,MONITOR,high,baseline
EL108,Elevator,2028-09-01,0.613277,1,MONITOR,high,baseline
EL108,Elevator,2028-10-01,0.615469,1,MONITOR,high,baseline
EL108,Elevator,2028-11-01,0.636674,1,MONITOR,high,baseline
EL108,Elevator,2028-12-01,0.655905,1,MONITOR,high,baseline
EL108,Elevator,2029-01-01,0.576699,1,MONITOR,medium,baseline
EL108,Elevator,2029-02-01,0.571423,1,MONITOR,medium,baseline
EL108,Elevator,2029-03-01,0.60408,1,MONITOR,high,baseline
EL108,Elevator,2029-04-01,0.608246,1,MONITOR,high,baseline
