date,ofns_desc,pd_desc,law_cat_cd,boro_nm,station_name,year,month,month_year
2023-12-19,POSSESSION OF STOLEN PROPERTY,"STOLEN PROPERTY 3,POSSESSION",MISDEMEANOR,MANHATTAN,DISTRICT 1 OFFICE,2023,12,2023-12
2023-12-19,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,BROOKLYN,PACIFIC STREET,2023,12,2023-12
2023-12-19,POSSESSION OF STOLEN PROPERTY,"STOLEN PROPERTY 2,1,POSSESSION",FELONY,MANHATTAN,DISTRICT 1 OFFICE,2023,12,2023-12
2023-12-19,CRIMINAL TRESPASS,"TRESPASS 3, CRIMINAL",MISDEMEANOR,BROOKLYN,PACIFIC STREET,2023,12,2023-12
2023-12-19,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,GRAND ARMY PLAZA,2023,12,2023-12
2023-12-19,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,BROOKLYN,ATLANTIC AVENUE,2023,12,2023-12
2023-12-19,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,96 STREET,2023,12,2023-12
2023-12-19,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,BROOKLYN,"AVENUE ""M""",2023,12,2023-12
2023-12-19,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",MISDEMEANOR,BROOKLYN,PROSPECT PARK,2023,12,2023-12
2023-12-19,SEX CRIMES,"SEXUAL ABUSE 3,2",MISDEMEANOR,MANHATTAN,86 STREET,2023,12,2023-12
2023-12-19,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, POSSESSI",MISDEMEANOR,MANHATTAN,137 ST.-CITY COLLEGE,2023,12,2023-12
2023-12-19,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, POSSESSI",MISDEMEANOR,BROOKLYN,FLATBUSH AVE.-BROOKLYN COLLEGE,2023,12,2023-12
2023-12-14,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PICK",FELONY,MANHATTAN,103 STREET,2023,12,2023-12
2023-12-17,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,125 STREET,2023,12,2023-12
2023-12-19,FORGERY,"FORGERY,ETC.,UNCLASSIFIED-FELO",FELONY,BROOKLYN,UTICA AVENUE,2023,12,2023-12
2023-12-19,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,161 ST.-YANKEE STADIUM,2023,12,2023-12
2023-12-19,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, POSSESSI",MISDEMEANOR,BRONX,167 STREET,2023,12,2023-12
2023-12-19,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,RALPH AVENUE,2023,12,2023-12
2023-12-19,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,ROCKAWAY AVENUE,2023,12,2023-12
2023-12-19,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,BROOKLYN,ROCKAWAY AVENUE,2023,12,2023-12
2023-12-19,OFFENSES AGAINST PUBLIC ADMINI,RESISTING ARREST,MISDEMEANOR,BROOKLYN,WYCKOFF AVENUE,2023,12,2023-12
2023-12-19,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,176 STREET,2023,12,2023-12
2023-12-19,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,BROOKLYN,BROADWAY-EAST NEW YORK,2023,12,2023-12
2023-12-15,GRAND LARCENY,"LARCENY,GRAND BY ACQUIRING LOS",FELONY,BROOKLYN,BROADWAY-EAST NEW YORK,2023,12,2023-12
2023-12-19,CRIMINAL TRESPASS,"TRESPASS 3, CRIMINAL",MISDEMEANOR,BROOKLYN,BROADWAY-EAST NEW YORK,2023,12,2023-12
2023-12-19,DANGEROUS WEAPONS,WEAPONS POSSESSION 3,FELONY,BROOKLYN,BROADWAY-EASTERN PKWY,2023,12,2023-12
2023-12-19,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,BROOKLYN,LIVONIA AVENUE,2023,12,2023-12
2023-12-19,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,EAST 105 STREET,2023,12,2023-12
2023-12-19,THEFT OF SERVICES,UNAUTH. SALE OF TRANS. SERVICE,MISDEMEANOR,BRONX,FORDHAM ROAD,2023,12,2023-12
2023-12-19,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,QUEENS,METROPOLITAN AVENUE,2023,12,2023-12
