"cmplnt_fr_dt","ofns_desc","pd_desc","law_cat_cd","boro_nm","station_name"
"2021-04-01T00:00:00.000","DANGEROUS DRUGS","CONTROLLED SUBSTANCE, POSSESSI","MISDEMEANOR","MANHATTAN","59 ST.-COLUMBUS CIRCLE"
"2021-04-01T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","CRIMINAL MISCHIEF 4TH, GRAFFIT","MISDEMEANOR","BROOKLYN","LORIMER STREET"
"2021-04-01T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","CRIMINAL MISCHIEF 4TH, GRAFFIT","MISDEMEANOR","MANHATTAN","135 STREET"
"2021-04-01T00:00:00.000","PETIT LARCENY","LARCENY,PETIT FROM OPEN AREAS,","MISDEMEANOR","MANHATTAN","BROADWAY/LAFAYETTE"
"2021-03-25T00:00:00.000","ROBBERY","ROBBERY,PERSONAL ELECTRONIC DEVICE","FELONY","QUEENS","23 STREET-ELY AVENUE"
"2021-03-31T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","CRIMINAL MISCHIEF 4TH, GRAFFIT","MISDEMEANOR","BROOKLYN","MONTROSE AVENUE"
"2021-04-01T00:00:00.000","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","FELONY","QUEENS","46 STREET"
"2021-03-31T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","QUEENS","ROOSEVELT ISLAND"
"2021-03-19T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","CRIMINAL MIS 2 & 3","FELONY","MANHATTAN","CITY HALL"
"2021-03-31T00:00:00.000","ROBBERY","ROBBERY,PUBLIC PLACE INSIDE","FELONY","BRONX","182-183 STREETS"
"2021-03-31T00:00:00.000","GRAND LARCENY","LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)","FELONY","MANHATTAN","72 STREET"
"2021-03-31T00:00:00.000","SEX CRIMES","SEXUAL ABUSE 3,2","MISDEMEANOR","BROOKLYN","HOYT-SCHERMERHORN"
"2021-03-31T00:00:00.000","DANGEROUS DRUGS","CONTROLLED SUBSTANCE, POSSESSI","MISDEMEANOR","BRONX","183 STREET"
"2021-03-31T00:00:00.000","HARRASSMENT 2","HARASSMENT,SUBD 1,CIVILIAN","VIOLATION","MANHATTAN","96 STREET"
"2021-03-31T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","QUEENS","BEACH 25 STREET"
"2021-03-29T00:00:00.000","HARRASSMENT 2","HARASSMENT,SUBD 3,4,5","VIOLATION","BROOKLYN","9TH STREET"
"2021-03-31T00:00:00.000","PETIT LARCENY","LARCENY,PETIT FROM OPEN AREAS,","MISDEMEANOR","QUEENS","BEACH 67 STREET"
"2021-03-31T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","MANHATTAN","96 STREET"
"2021-03-31T00:00:00.000","FORGERY","FORGERY,ETC.,UNCLASSIFIED-FELO","FELONY","QUEENS","JUNCTION BLVD."
"2021-03-31T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","BRONX","149 ST.-GRAND CONCOURSE"
"2021-03-31T00:00:00.000","ROBBERY","ROBBERY,PERSONAL ELECTRONIC DEVICE","FELONY","BROOKLYN","FRANKLIN AVENUE"
"2021-03-31T00:00:00.000","SEX CRIMES","SEXUAL ABUSE 3,2","MISDEMEANOR","MANHATTAN","14 STREET"
"2021-03-31T00:00:00.000","GRAND LARCENY","LARCENY,GRAND BY THEFT OF CREDIT CARD","FELONY","MANHATTAN","49 STREET"
"2021-03-31T00:00:00.000","HARRASSMENT 2","HARASSMENT,SUBD 3,4,5","VIOLATION","MANHATTAN","57 STREET"
"2021-03-30T00:00:00.000","HARRASSMENT 2","HARASSMENT,SUBD 1,CIVILIAN","VIOLATION","BROOKLYN","PARKSIDE AVENUE"
"2021-03-31T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","CRIMINAL MISCHIEF,UNCLASSIFIED 4","MISDEMEANOR","MANHATTAN","WHITEHALL ST.-SOUTH FERRY"
"2021-03-30T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","MISCHIEF,CRIMINAL,    UNCL 2ND","FELONY","MANHATTAN","BROAD STREET"
"2021-03-30T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","BRONX","149 ST.-GRAND CONCOURSE"
"2021-03-30T00:00:00.000","DANGEROUS WEAPONS","WEAPONS, POSSESSION, ETC","MISDEMEANOR","BRONX","FORDHAM ROAD"
"2021-03-29T00:00:00.000","GRAND LARCENY","LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)","FELONY","BRONX","CASTLE HILL AVENUE"
"2021-03-30T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","CRIMINAL MISCHIEF 4TH, GRAFFIT","MISDEMEANOR","MANHATTAN","14 STREET"
"2021-03-30T00:00:00.000","MISCELLANEOUS PENAL LAW","CRIMINAL CONTEMPT 1","FELONY","MANHATTAN","42 ST.-GRAND CENTRAL"
"2021-03-30T00:00:00.000","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","FELONY","QUEENS","BROAD CHANNEL"
"2021-03-30T00:00:00.000","HARRASSMENT 2","HARASSMENT,SUBD 1,CIVILIAN","VIOLATION","MANHATTAN","BROADWAY/LAFAYETTE"
"2021-03-29T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","MANHATTAN","BROADWAY/LAFAYETTE"
"2021-03-30T00:00:00.000","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","FELONY","MANHATTAN","59 STREET"
"2021-03-30T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","MISCHIEF,CRIMINAL,    UNCL 2ND","FELONY","MANHATTAN","42 ST.-TIMES SQUARE"
"2021-03-29T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","CRIMINAL MISCHIEF 4TH, GRAFFIT","MISDEMEANOR","BROOKLYN","BEDFORD AVENUE"
"2021-03-30T00:00:00.000","DANGEROUS DRUGS","CONTROLLED SUBSTANCE, POSSESSI","MISDEMEANOR","MANHATTAN","BOWERY"
"2021-03-30T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","CRIMINAL MISCHIEF 4TH, GRAFFIT","MISDEMEANOR","BROOKLYN","KOSCIUSKO STREET"
"2021-03-30T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","MANHATTAN","UNION SQUARE"
"2021-03-25T00:00:00.000","PETIT LARCENY","LARCENY,PETIT FROM OPEN AREAS,","MISDEMEANOR","MANHATTAN","59 ST.-COLUMBUS CIRCLE"
"2021-03-30T00:00:00.000","ROBBERY","ROBBERY,PERSONAL ELECTRONIC DEVICE","FELONY","BROOKLYN","ROCKAWAY PKWY-CANARSIE"
"2021-03-30T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","MANHATTAN","125 STREET"
"2021-03-30T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","BRONX","149 ST.-GRAND CONCOURSE"
"2021-03-12T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","CRIMINAL MISCHIEF 4TH, GRAFFIT","MISDEMEANOR","MANHATTAN","BROOKLYN BRIDGE-CITY HALL"
"2021-03-30T00:00:00.000","PETIT LARCENY","LARCENY,PETIT BY ACQUIRING LOS","MISDEMEANOR","QUEENS","VERNON BLVD.-JACKSON AVE."
"2021-03-30T00:00:00.000","DANGEROUS WEAPONS","WEAPONS, POSSESSION, ETC","MISDEMEANOR","MANHATTAN","42 ST.-GRAND CENTRAL"
"2021-03-30T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","MENACING,UNCLASSIFIED","MISDEMEANOR","MANHATTAN","181 STREET"
"2021-03-27T00:00:00.000","GRAND LARCENY","LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)","FELONY","BROOKLYN","GATES AVENUE"
"2021-03-30T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","MENACING,UNCLASSIFIED","MISDEMEANOR","MANHATTAN","DELANCEY STREET"
